Dates,Price
5/31/98,95523
6/30/98,96348
7/31/98,97102
8/31/98,98399
9/30/98,100011
10/31/98,101201
11/30/98,101999
12/31/98,102507
1/31/99,102846
2/28/99,103457
3/31/99,103635
4/30/99,103936
5/31/99,104138
6/30/99,104138
7/31/99,104084
8/31/99,104321
9/30/99,103857
10/31/99,103683
11/30/99,103921
12/31/99,104509
1/31/00,105459
2/29/00,105878
3/31/00,106859
4/30/00,107377
5/31/00,108017
6/30/00,108551
7/31/00,109133
8/31/00,109327
9/30/00,109853
10/31/00,110638
11/30/00,111417
12/31/00,112074
1/31/01,112271
2/28/01,112516
3/31/01,112557
4/30/01,112985
5/31/01,113264
6/30/01,114001
7/31/01,114594
8/31/01,115637
9/30/01,116241
10/31/01,116809
11/30/01,117215
12/31/01,117616
1/31/02,118004
2/28/02,118366
3/31/02,118813
4/30/02,119062
5/31/02,119395
6/30/02,119618
7/31/02,119979
8/31/02,119966
9/30/02,120063
10/31/02,120255
11/30/02,120601
12/31/02,120983
1/31/03,121104
2/28/03,121606
3/31/03,122087
4/30/03,122742
5/31/03,123285
6/30/03,123900
7/31/03,124443
8/31/03,125199
9/30/03,125910
10/31/03,126748
11/30/03,127148
12/31/03,127533
1/31/04,127537
2/29/04,127592
3/31/04,127840
4/30/04,128480
5/31/04,129225
6/30/04,129829
7/31/04,130427
8/31/04,130901
9/30/04,131335
10/31/04,131650
11/30/04,132140
12/31/04,132610
1/31/05,134182
2/28/05,135730
3/31/05,136785
4/30/05,136789
5/31/05,136786
6/30/05,136975
7/31/05,137230
8/31/05,137242
9/30/05,137373
10/31/05,137368
11/30/05,137567
12/31/05,137811
1/31/06,137567
2/28/06,137086
3/31/06,136678
4/30/06,136583
5/31/06,136463
6/30/06,136389
7/31/06,136444
8/31/06,136673
9/30/06,136845
10/31/06,137035
11/30/06,137007
12/31/06,136900
1/31/07,136665
2/28/07,136581
3/31/07,136619
4/30/07,136756
5/31/07,136838
6/30/07,136807
7/31/07,136565
8/31/07,136559
9/30/07,136508
10/31/07,136730
11/30/07,136830
12/31/07,136830
1/31/08,136964
2/29/08,136681
3/31/08,136276
4/30/08,136090
5/31/08,136204
6/30/08,136390
7/31/08,136108
8/31/08,135747
9/30/08,135411
10/31/08,134849
11/30/08,134347
12/31/08,134066
1/31/09,134081
2/28/09,134061
3/31/09,134222
4/30/09,134101
5/31/09,133927
6/30/09,133333
7/31/09,133368
8/31/09,133410
9/30/09,133700
10/31/09,134004
11/30/09,134634
12/31/09,135244
1/31/10,134983
2/28/10,135443
3/31/10,135778
4/30/10,136356
5/31/10,136466
6/30/10,136884
7/31/10,137344
8/31/10,137484
9/30/10,137400
10/31/10,137220
11/30/10,137024
12/31/10,136713
1/31/11,136903
2/28/11,136643
3/31/11,136448
4/30/11,136251
5/31/11,136214
6/30/11,136164
7/31/11,135972
8/31/11,136081
9/30/11,136168
10/31/11,136389
11/30/11,136284
12/31/11,136243
1/31/12,136340
2/29/12,136599
3/31/12,136959
4/30/12,137149
5/31/12,137525
6/30/12,138096
7/31/12,138517
8/31/12,138891
9/30/12,139160
10/31/12,139510
11/30/12,139842
12/31/12,140250
1/31/13,140218
2/28/13,140218
3/31/13,139935
4/30/13,139929
5/31/13,139883
6/30/13,139891
7/31/13,140056
8/31/13,140210
9/30/13,140491
10/31/13,140746
11/30/13,141298
12/31/13,141917
1/31/14,143062
2/28/14,143998
3/31/14,145246
4/30/14,146437
5/31/14,147678
6/30/14,148601
7/31/14,149274
8/31/14,150172
9/30/14,151064
10/31/14,152114
11/30/14,153010
12/31/14,153837
1/31/15,154387
2/28/15,155114
3/31/15,155918
4/30/15,156726
5/31/15,157637
6/30/15,158608
7/31/15,160084
8/31/15,161421
9/30/15,162784
10/31/15,163753
11/30/15,164742
12/31/15,165673
1/31/16,166813
2/29/16,168070
3/31/16,169256
4/30/16,170239
5/31/16,170978
6/30/16,171906
7/31/16,172688
8/31/16,173460
9/30/16,174394
10/31/16,175609
11/30/16,176765
12/31/16,177922
1/31/17,178949
2/28/17,179874
3/31/17,180605
4/30/17,181440
5/31/17,182452
6/30/17,183547
7/31/17,184460
8/31/17,185390
9/30/17,186168
10/31/17,187002
11/30/17,188081
12/31/17,189209
1/31/18,190511
2/28/18,191746
3/31/18,193228
4/30/18,194712
5/31/18,196096
6/30/18,197187
7/31/18,198212
8/31/18,199352
9/30/18,200485
10/31/18,201808
11/30/18,203011
12/31/18,204457
1/31/19,205669
2/28/19,206848
3/31/19,208327
4/30/19,209864
5/31/19,211126
6/30/19,212015
7/31/19,213042
8/31/19,214623
9/30/19,216093
10/31/19,217330
11/30/19,216993
12/31/19,216481
1/31/20,215760
2/29/20,215541
3/31/20,214814
4/30/20,214553
5/31/20,215112
6/30/20,216188
7/31/20,216867
8/31/20,217200
9/30/20,217782
10/31/20,218556
11/30/20,220665
12/31/20,222943
1/31/21,225660
2/28/21,228274
3/31/21,231338
4/30/21,234270