Year,Price Change PCT,
2000,NaN,
2001,0.054517804,2.9
2002,0.042181978,3.1
2003,0.04043213,3.2
2004,0.045492238,3.0
2005,0.052753139,3.1
2006,-0.000102325,2.9
2007,-0.000841825,3.5
2008,-0.006800635,7.0
2009,-0.012919755,6.5
2010,0.019283807,6.1
2011,-0.002034659,5.1
2012,0.014108426,5.0
2013,0.015645892,3.8
2014,0.059177038,3.4
2015,0.074168966,3.7
2016,0.078907185,3.4
2017,0.067248682,3.2
2018,0.074134516,3.1
2019,0.074913796,3.7
2020,0.022590547,2.6
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,